hora,cpu,ram,disco,net_enviada,net_recibida
2026-05-11 19:44:12,4.5,75.7,22.7,529464908,2274698967
2026-05-11 19:44:13,4.3,75.7,22.7,529464962,2274699132
2026-05-11 19:44:14,5.5,75.7,22.7,530398236,2274716590
2026-05-11 19:44:15,3.3,75.7,22.7,530400133,2274722043
2026-05-11 19:44:16,3.3,75.7,22.7,530883388,2274730999
2026-05-11 19:44:17,3.0,75.7,22.7,530883443,2274731571
2026-05-11 19:44:18,4.1,75.7,22.7,531383811,2274740119
2026-05-11 19:44:19,3.8,75.6,22.7,531384979,2274740452
2026-05-11 19:44:20,3.5,75.6,22.7,531885236,2274747979
2026-05-11 19:44:21,5.5,75.6,22.7,531885236,2274748123
2026-05-11 19:44:22,5.9,75.6,22.7,532501889,2274753706
2026-05-11 19:44:23,29.5,75.8,22.7,532501943,2274753808
2026-05-11 19:44:24,4.2,75.8,22.7,533234772,2274753989
2026-05-11 19:44:25,4.1,75.8,22.7,533235776,2274767900
2026-05-11 19:44:26,3.7,75.4,22.7,533236071,2274768398
2026-05-11 19:44:27,3.0,75.5,22.7,533687417,2274778203
2026-05-11 19:44:28,6.2,75.5,22.7,533687417,2274778245
2026-05-11 19:44:29,5.5,75.5,22.7,534170802,2274787115
2026-05-11 19:44:30,2.5,75.5,22.7,534170802,2274787277
2026-05-11 19:44:31,6.2,75.3,22.7,534787420,2274797536
2026-05-11 19:44:32,3.1,75.3,22.7,534787491,2274797646
2026-05-11 19:44:33,5.0,75.2,22.7,535405297,2274808772
2026-05-11 19:44:34,4.7,75.2,22.7,535408626,2274813142
2026-05-11 19:44:35,2.7,75.3,22.7,536092250,2274821164
2026-05-11 19:44:36,8.2,75.4,22.7,536098388,2274833557
2026-05-11 19:44:37,5.2,75.6,22.7,536315809,2274842944
2026-05-11 19:44:38,4.0,75.6,22.7,536315809,2274843046
2026-05-11 19:44:39,3.5,75.6,22.7,536315880,2274843214
2026-05-11 19:44:40,4.1,75.6,22.7,536315880,2274843256
2026-05-11 19:44:41,5.7,75.6,22.7,536317035,2274843757
2026-05-11 19:44:42,3.7,75.6,22.7,536317106,2274843979
2026-05-11 19:44:43,6.4,75.6,22.7,536318120,2274844081
2026-05-11 19:44:44,4.1,75.6,22.7,536318326,2274844495
2026-05-11 19:44:45,4.4,75.5,22.7,536319807,2274848292
2026-05-11 19:44:46,5.9,75.5,22.7,536686974,2274853097
2026-05-11 19:44:47,3.6,75.5,22.7,536686974,2274853663
2026-05-11 19:44:48,4.7,75.5,22.7,537370017,2274864650
2026-05-11 19:44:49,4.9,75.5,22.7,537370017,2274864812
2026-05-11 19:44:50,4.7,75.5,22.7,537886719,2274873840
2026-05-11 19:44:51,3.5,75.4,22.7,537886719,2274873942
2026-05-11 19:44:52,3.0,75.4,22.7,538504443,2274887596
2026-05-11 19:44:53,4.1,75.4,22.7,538504586,2274888105
2026-05-11 19:44:54,5.5,75.5,22.7,539370621,2274888551
2026-05-11 19:44:55,5.6,75.5,22.7,539371498,2274904019
2026-05-11 19:44:56,3.5,75.4,22.7,539799860,2274904319
2026-05-11 19:44:57,5.5,75.4,22.7,539921577,2274911752
2026-05-11 19:44:58,3.2,75.4,22.7,539921577,2274911854
2026-05-11 19:44:59,5.7,75.4,22.7,540538301,2274922758
2026-05-11 19:45:00,4.9,75.3,22.7,540538301,2274922860
2026-05-11 19:45:01,6.8,75.4,22.7,541204542,2274933419
2026-05-11 19:45:02,2.9,75.4,22.7,541204613,2274933587
2026-05-11 19:45:03,5.4,75.4,22.7,541696014,2274947676
2026-05-11 19:45:04,3.5,75.4,22.7,541699999,2274954024
2026-05-11 19:45:05,4.9,75.5,22.7,542572416,2274982174
2026-05-11 19:45:06,10.7,75.5,22.7,542572822,2274984092
2026-05-11 19:45:07,7.9,75.4,22.7,543058289,2275001470
2026-05-11 19:45:08,29.6,75.6,22.7,543058343,2275001925
2026-05-11 19:45:09,5.9,75.6,22.7,543541470,2275006591
2026-05-11 19:45:10,4.8,75.6,22.7,543541928,2275009855
2026-05-11 19:45:11,5.5,75.2,22.7,543541928,2275009897
2026-05-11 19:45:12,2.3,75.2,22.7,543541999,2275010125
2026-05-11 19:45:13,5.7,75.2,22.7,543559157,2275010789
2026-05-11 19:45:14,3.8,75.2,22.7,543559391,2275011206
2026-05-11 19:45:15,4.6,75.2,22.7,543559983,2275011464
2026-05-11 19:45:16,6.8,75.1,22.7,543561814,2275017085
2026-05-11 19:45:17,2.1,75.1,22.7,544245231,2275027271
2026-05-11 19:45:18,5.6,75.1,22.7,544245302,2275027439
2026-05-11 19:45:19,4.7,75.1,22.7,544845450,2275038073
2026-05-11 19:45:20,4.3,75.0,22.7,544845450,2275038235
2026-05-11 19:45:21,3.6,75.0,22.7,545278898,2275047080
2026-05-11 19:45:22,2.8,75.0,22.7,545278988,2275047322
2026-05-11 19:45:23,4.5,75.0,22.7,545445917,2275050227
2026-05-11 19:45:24,3.5,75.0,22.7,545446062,2275050528
2026-05-11 19:45:25,3.4,75.0,22.7,545446420,2275050960
2026-05-11 19:45:26,5.8,75.0,22.7,545446770,2275051386
2026-05-11 19:45:27,3.2,75.1,22.7,545446912,2275052084
2026-05-11 19:45:28,4.4,75.1,22.7,546129652,2275062541
2026-05-11 19:45:29,4.0,75.1,22.7,546130030,2275063182
2026-05-11 19:45:30,4.8,75.1,22.7,546480344,2275068751
2026-05-11 19:45:31,2.0,75.1,22.7,546480452,2275069329
2026-05-11 19:45:32,3.8,75.0,22.7,546713994,2275072506
2026-05-11 19:45:33,5.4,75.0,22.7,546713994,2275072608
2026-05-11 19:45:34,6.3,75.0,22.7,546717157,2275076540
2026-05-11 19:45:35,3.7,75.0,22.7,546817754,2275078712
2026-05-11 19:45:36,5.0,75.0,22.7,546817970,2275080504
2026-05-11 19:45:37,3.3,75.0,22.7,546820026,2275090249
2026-05-11 19:45:38,4.8,75.0,22.7,547237084,2275102059
2026-05-11 19:45:39,3.6,75.0,22.7,547237155,2275103881
2026-05-11 19:45:40,6.6,75.0,22.7,547887084,2275115067
2026-05-11 19:45:41,2.7,75.0,22.7,547887084,2275116763
2026-05-11 19:45:42,4.5,75.1,22.7,548453424,2275116871
2026-05-11 19:45:43,4.0,75.0,22.7,548453856,2275125592
2026-05-11 19:45:44,3.1,75.0,22.7,548454008,2275127771
2026-05-11 19:45:45,9.9,75.3,22.7,548815022,2275134577
2026-05-11 19:45:46,32.5,75.8,22.7,549002534,2275144146
2026-05-11 19:45:47,7.7,75.8,22.7,549002912,2275146270
2026-05-11 19:45:48,9.9,75.6,22.7,549003254,2275147568
2026-05-11 19:45:49,28.8,76.0,22.7,549269991,2275152525
2026-05-11 19:45:50,8.4,75.9,22.7,549270099,2275152998
2026-05-11 19:45:51,8.2,75.9,22.7,549353757,2275155145
2026-05-11 19:45:52,7.9,75.7,22.7,549353973,2275156093
2026-05-11 19:45:53,11.3,75.8,22.7,549354279,2275157181
2026-05-11 19:45:54,21.4,76.4,22.7,549522151,2275162314
2026-05-11 19:45:55,31.2,76.8,22.7,549522779,2275163809
2026-05-11 19:45:56,11.8,76.8,22.7,549740547,2275168010
2026-05-11 19:45:57,6.6,76.4,22.7,549740994,2275169906
2026-05-11 19:45:58,38.1,76.8,22.7,549741210,2275170875
2026-05-11 19:45:59,13.8,76.5,22.7,549908195,2275175371
2026-05-11 19:46:00,8.7,76.6,22.7,549908339,2275175779
2026-05-11 19:46:01,7.9,76.4,22.7,550008643,2275178710
2026-05-11 19:46:02,5.5,76.4,22.7,550008893,2275179610
2026-05-11 19:46:03,6.5,76.5,22.7,550016457,2275184217
2026-05-11 19:46:04,7.7,76.4,22.7,550100196,2275187796
2026-05-11 19:46:05,7.1,75.7,22.7,550100250,2275188065
2026-05-11 19:46:06,36.0,76.1,22.7,550200655,2275190864
2026-05-11 19:46:07,7.8,76.2,22.7,550202606,2275198270
2026-05-11 19:46:08,9.3,76.2,22.7,550203382,2275204282
2026-05-11 19:46:09,32.5,76.4,22.7,550436902,2275208896
2026-05-11 19:46:10,12.4,76.5,22.7,550457443,2276012872
2026-05-11 19:46:11,11.6,76.7,22.7,550477577,2276133359
2026-05-11 19:46:12,36.6,76.6,22.7,550744373,2276138887
2026-05-11 19:46:13,12.4,76.2,22.7,550744563,2276139965
